Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
Inpt Size flits : 	4	Output Size flit : 	0.980469
